,logFC,AveExpr,t,P.Value,adj.P.Val,B
S100A3,156.92,189.52,4.701888873,0.001185386,0.047362924,-2.786688302
MAPKAPK3,-245.68,217.3,-4.694653516,0.00119734,0.047529054,-2.789059267
ZFP36L2,-101.68,117.34,-4.692211498,0.001201403,0.047529054,-2.78986077
SPCS2,-15.28,14.82,-4.689778263,0.001205467,0.047529054,-2.790660031
SPCS2P4,18.5,34.19,4.687648956,0.001209036,0.047529054,-2.791359984
,-355.74,811.77,-4.687456407,0.001209359,0.047529054,-2.791423303
PSMB10,-30.64,63.16,-4.685807826,0.00121213,0.047529054,-2.791965601
,-24.3,20.39,-4.682572169,0.001217589,0.047576878,-2.793030819
SPN,62.86,42.79,4.68062572,0.001220886,0.047576878,-2.793672161
HSPB1,-1092.98,649.73,-4.661646532,0.00125354,0.048351644,-2.799947218
HSPB1P1,225.52,158.12,4.660912092,0.001254822,0.048351644,-2.800190831
CDKN1A,-468.56,452.58,-4.652994446,0.001268736,0.048351644,-2.802820851
PTTG1,356.54,748.87,4.651112905,0.001272067,0.048351644,-2.803446852
SORBS3,173.4,367.22,4.651056344,0.001272168,0.048351644,-2.803465677
APOBEC3C,3077.98,1613.85,4.646520392,0.001280237,0.048351644,-2.804976437
ID1,249.7,269.59,4.646035362,0.001281103,0.048351644,-2.805138116
,-94.02,116.19,-4.642326226,0.001287747,0.048351644,-2.806375364
HSPB2,-455.66,546.03,-4.640477539,0.001291073,0.048351644,-2.80699259
HSPB2-C11orf52,-53.12,63.82,-4.640069912,0.001291807,0.048351644,-2.807128735
CX3CL1,-114.34,134.23,-4.63955546,0.001292735,0.048351644,-2.807300586
CALCOCO1,-16.6,26.5,-4.637288652,0.001296831,0.048351644,-2.80805815
KLRB1,-132.78,234.13,-4.63627093,0.001298674,0.048351644,-2.808398455
YBX3,-350.88,450.56,-4.633972462,0.001302848,0.048351644,-2.809167433
CD4,29.74,21.97,4.633138162,0.001304366,0.048351644,-2.8094467
TNS2,-156.4,303.58,-4.631267733,0.001307777,0.048351644,-2.810073072
AGTR1,200.8,253.5,4.63073076,0.001308758,0.048351644,-2.810252966
CD79A,-148.98,184.99,-4.630216262,0.001309699,0.048351644,-2.810425359
GADD45A,484.92,733.76,4.614972534,0.001337905,0.049161379,-2.815546319
PLAUR,420.72,799.82,4.614163771,0.00133942,0.049161379,-2.81581873
IRF8,-26.52,15.96,-4.605691986,0.001355396,0.049469365,-2.818676573
ZBTB16,-252.78,141.61,-4.60555995,0.001355647,0.049469365,-2.818721176
